mz	Intensity	SN	Resolution
106.67784	901885		1017495
106.68741	854501		1170412
106.71593	808780		1068524
106.72366	787700		1198615
106.75092	850483		745433
106.75227	782043		1238084
106.75329	805531		1103828
106.7637	780011		1257715
106.77332	813994		1129332
106.80264	798521		1337529
106.8443	789472		1246336
106.85416	827552		912491
106.88081	789735		1272041
106.90831	1010678		1056878
106.92746	826750		844422
106.93366	801322		705552
106.93683	843973		1007744
106.93759	787117		1333729
106.94628	807093		1444321
106.99535	785004		990673
107.00102	780468		1452920
107.00599	844883		1442594
107.01652	881483		1095827
107.02468	805007		1097469
107.06233	820082		1127417
107.07328	900513		1567691
107.08061	822413		978382
107.08251	809897		994342
107.10004	807633		1302220
107.10598	844336		998319
107.11984	803896		1048055
107.13719	796848		1010848
107.14863	908035		925438
107.17824	1016894		1324829
107.2067	780638		1294631
107.23282	779989		939562
107.24435	846020		1104202
107.25474	814092		951332
107.26933	800260		1121134
107.27221	805524		1288855
107.28276	899723		877937
107.33361	921770		1204180
107.33384	808754		1394172
107.33661	835162		820246
107.3392	810954		1308007
107.3437	786297		773284
107.35648	871241		1232096
107.3577	787529		1176797
107.3927	854080		1060775
107.3982	819288		1108203
107.39978	827068		970043
107.40994	799791		1147548
107.414	805463		1262557
107.41693	802471		1322565
107.41709	804011		774527
107.42522	822447		1091299
107.43753	805887		1169575
107.43907	775023		1440736
107.44844	776654		1012442
107.45172	868750		910019
107.45908	801110		1111729
107.4774	824285		963778
107.49251	824525		899739
107.51185	855116		960520
107.51863	775988		1010739
107.52105	808724		1152071
107.55445	785603		1181236
107.55848	793059		1050100
107.57424	958707		932081
107.58918	789578		1255966
107.60533	773970		1025560
107.61694	838513		1150134
107.6243	777817		1455318
107.64098	801593		1192599
107.64746	787032		1445560
107.65192	824856		1152938
107.67535	827896		1234651
107.68464	801025		563585
107.72511	776478		1149420
107.72652	927078		995412
107.75067	861125		968869
107.75183	954973		1132234
107.75616	831021		1144469
107.77591	779309		1570123
107.78165	845292		1309092
107.78371	800572		1272516
107.79037	788188		1022732
107.79226	799284		1198402
107.80107	911004		1226428
107.80192	867324		998092
107.80409	1041876		841619
107.80876	815724		1307475
107.8262	1194139		1287291
107.82753	839851		1416126
107.8297	835835		1363011
107.83362	813691		1024628
107.84026	799067		1396306
107.84084	977483		1374298
107.86361	872578		1012318
107.90103	876281		1366131
107.90514	844273		1267136
107.92844	864200		1262473
107.93443	794112		789191
107.93569	810978		1059377
107.93575	776096		736161
107.94924	797735		1360847
107.97287	799815		1341023
107.9741	779735		1189479
107.97845	805343		1230008
107.98867	781574		1326817
108.01175	787646		1241471
108.01473	825654		999877
108.0155	947486		1156188
108.01797	863645		1053735
108.04552	808869		1084179
108.04918	825621		1464026
108.07783	847540		775986
108.09226	860691		816066
108.11063	796155		1230261
108.17351	841433		1084553
108.17642	944665		1011187
108.19377	916752		1068141
108.22438	812335		1523280
108.24818	795503		847953
108.25709	920910		814263
108.28257	779550		1145597
108.29224	878557		1113997
108.32678	824300		1216626
108.33498	953652		872390
108.35517	975659		1053433
108.36233	1036859		994346
108.37066	789075		1183325
108.3708	847951		816731
108.37805	870319		853219
108.38196	784971		1081486
108.38468	805891		948364
108.38668	777314		977417
108.39201	821634		1141597
108.4004	947154		1084214
108.41529	796122		776122
108.41712	977018		1085778
108.4433	822401		1024604
108.4514	796353		1169446
108.46765	996392		869164
108.47744	956120		1034139
108.47876	915008		999493
108.49366	843783		1202660
108.51455	860615		1106013
108.54572	895366		1388851
108.55942	912653		951748
108.56142	840773		1022740
108.56604	904373		1111898
108.59475	809620		977235
108.62901	775691		1137036
108.66283	816738		934899
108.66643	843850		649911
108.66703	854626		970028
108.67977	805106		1446172
108.70126	773753		1091928
108.70213	914449		954595
108.73257	830680		1125795
108.73555	826160		1379002
108.73911	819664		1353211
108.76717	876639		922947
108.76994	849335		1058524
108.772	773727		1173468
108.77696	891503		1323217
108.81696	806246		742640
108.9433	941594		1185011
108.95498	787922		1186127
109.00701	787016		1081995
109.01783	793952		981776
109.02541	884311		1324331
109.02979	1059127		1224372
109.0325	988823		867891
109.07096	785782		1347914
109.08709	831286		1478691
109.09354	893989		1124283
109.10519	807405		1044691
109.12018	826637		990671
109.12868	814648		719829
109.14331	798060		1291974
109.165	833075		969651
109.16687	884523		944658
109.1866	849251		1073421
109.23153	926225		1192821
109.2453	835937		1184859
109.26687	892548		651080
109.27312	866736		1279764
109.28441	798048		1139155
109.29771	882127		1096976
109.35521	787622		995330
109.36848	799413		1261470
109.40878	774540		1196392
109.40947	786304		938296
109.42878	860187		1098353
109.42924	803515		986977
109.43639	784523		930140
109.44232	790187		1234982
109.44549	875843		788425
109.4665	793546		1193571
109.46729	824122		1420515
109.46955	887818		1174801
109.48892	787586		1264759
109.48906	814362		1488187
109.50776	988409		875683
109.56805	803847		829841
109.58238	836311		1221856
109.60278	787350		1158476
109.62152	820242		795115
109.64396	857349		1302045
109.65981	882989		847535
109.68371	908292		1416510
109.6858	821724		1168763
109.73666	780466		1384792
109.74122	826714		1077823
109.74357	898450		1025596
109.74666	843970		943640
109.74816	882418		1130182
109.77165	796449		1039019
109.80302	823024		1511783
109.80838	794592		1393925
109.84221	812383		1127297
109.85244	859519		1497694
109.8608	803291		869022
109.89515	919830		987161
109.90384	837949		1218068
109.91644	823429		1076240
109.93937	919924		760027
109.94223	786188		934565
109.9809	879763		924889
109.99662	797755		1359747
110.00909	820154		735538
110.01331	845962		1107467
110.0153	868698		1079833
110.02487	785690		1483871
110.04125	808041		1300413
110.05086	806329		1312582
110.05169	877209		1236392
110.06571	859249		833710
110.0675	823561		1194853
110.07325	833880		809804
110.07598	930768		1036447
110.08206	873896		1147687
110.08433	854688		939798
110.08717	811896		1334766
110.12612	927807		913170
110.1301	917911		1276584
110.18001	824277		978266
110.18101	898693		1130736
110.18913	776693		1000890
110.19912	783461		1334086
110.20345	804669		903512
110.20427	829813		1359283
110.21226	1041644		791990
110.24502	837987		994306
110.25786	1122931		1069797
110.25941	820947		840591
110.28661	799994		1033377
110.30074	867442		853242
110.32456	785633		976220
110.36479	827616		1227562
110.36741	848496		932055
110.37031	895424		1271629
110.37085	814116		688018
110.37302	851712		1130648
110.40427	780351		1324052
110.41778	785390		1279900
110.42171	793558		1080728
110.49079	800700		1448783
110.49105	873860		958161
110.49683	828988		812125
110.50955	798396		1263053
110.51339	816987		1234807
110.5185	885755		1190687
110.53931	781987		1153904
110.56789	806618		1164292
110.58341	774089		1356193
110.5878	1066585		1138212
110.61554	784088		892379
110.61713	781280		763539
110.65488	957355		704578
110.68093	815830		1200002
110.68187	831774		929012
110.70126	823902		962770
110.71542	986773		1253476
110.72686	860925		730107
110.74801	797605		1335091
110.75214	784524		1006385
110.76135	830060		873219
110.79903	850835		1081176
110.81715	955650		1178620
110.82938	826786		650026
110.84189	830370		1268050
110.86011	801753		982259
110.86296	838145		1266547
110.87695	792633		975477
110.88324	853585		1140819
110.90836	782128		1371854
110.91087	812800		1258241
110.93192	775439		1508288
110.9428	786911		1137991
110.98813	809117		1270768
111.02303	818348		1209358
111.04629	828556		1012817
111.05679	786259		951987
111.08075	884315		1298340
111.09371	908666		1114532
111.11277	794010		1442748
111.11512	868346		1120302
111.11621	789866		980938
111.14275	817545		876651
111.20587	944991		757220
111.20808	863975		1155106
