mz	Intensity	SN	Resolution
319.07887	4625091		293182
319.22671	2078935		259176
319.26364	2429148		232531
319.2909	1817824		447522
319.29997	2639073		322545
319.33611	2637542		363993
320.08197	1904458		337178
321.27899	2101226		363348
321.31533	7955438		312161
322.31879	2199155		336803
323.25811	1861870		371921
323.29454	1768179		360282
323.33082	1799927		441666
325.20136	2544106		358275
325.28903	5068277		337807
325.31029	6445560		253970
326.30545	2265720		336116
326.9659	2729676		372364
327.2016	2443498		322231
327.25309	16291569		291064
327.28946	2651893		267150
327.30477	3330807		287119
327.32611	25528058		276250
327.94187	3060552		324873
328.25643	3574640		305493
328.32946	5251962		259779
329.21146	2554345		354224
329.21473	10424297		308959
329.26764	3069936		716679
329.26866	26998768		340875
329.28592	1950194		432948
329.30504	5236725		333506
329.32035	5062647		264314
330.21808	1985127		417314
330.27211	6039662		315665
330.30048	2173810		250163
330.91631	1722047		408433
331.19035	1740001		340944
331.2633	5407979		289144
331.3361	1818355		381967
333.27904	5549542		251362
333.35187	3177455		274929
333.95091	2210873		305725
333.95277	3637817		465653
333.9543	4481593		296571
333.95592	8239674		343389
333.95675	3639866		553331
333.95775	5687866		515133
333.95888	10615354		374055
333.96097	4646458		314657
333.96233	1909306		389312
334.29535	1869411		377022
335.29475	3206623		262760
335.33117	2896612		356641
336.32631	2600798		369309
337.18239	2394056		379388
337.27382	2659283		288931
337.34676	1969628		321720
338.34196	12194902		240298
339.19829	2509504		287413
339.21715	2632386		332059
339.2687	1754313		329335
339.28965	6979787		263428
339.30463	2867405		423148
339.32592	3412176		307402
339.34521	3612882		293771
341.01796	9012640		346800
341.19633	2012086		363369
341.2872	12910017		306456
341.3051	28384706		297079
341.34186	44826056		303138
341.34303	3831240		504272
342.01758	2078235		392574
342.18556	3677743		381290
342.29038	2922044		352890
342.30843	5453375		331292
342.3453	8740419		286169
343.01474	1943190		391280
343.24254	3429042		313526
343.29969	1782457		344667
345.2789	1869229		354949
345.33637	7169973		303610
347.19946	2436251		463007
347.20067	17522844		253086
347.2793	9484453		310571
348.20395	4979992		278860
349.34666	3271591		223414
351.36273	1897634		319338
353.34214	2492826		228053
353.35271	7553948		320124
354.9937	11838570		258212
355.06885	11228275		389158
355.07004	113542256		305314
355.28433	7654543		263273
355.33608	3085461		299713
355.3576	22602904		271756
356.06961	28632306		300713
